기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2013,용인시 기흥구,보정동,12668,36024,17604,18420,35768,17472,18296,256,132,124,2.8,4308
2013,용인시 수지구,풍덕천1동,13590,36401,18062,18339,35783,17768,18015,618,294,324,2.6,3263
2013,용인시 수지구,풍덕천2동,13870,40965,20110,20855,40854,20070,20784,111,40,71,2.9,3131
2013,용인시 수지구,신봉동,11365,33904,16550,17354,33806,16496,17310,98,54,44,3,3811
2013,용인시 수지구,죽전1동,20831,60216,29387,30829,59753,29188,30565,463,199,264,2.9,5278
2013,용인시 수지구,죽전2동,7494,20031,9875,10156,19958,9844,10114,73,31,42,2.7,1694
2013,용인시 수지구,동천동,11851,34399,16989,17410,34180,16889,17291,219,100,119,2.9,3009
2013,용인시 수지구,상현1동,14646,44313,21537,22776,44162,21473,22689,151,64,87,3,4372
2013,용인시 수지구,상현2동,10256,32172,15682,16490,32142,15671,16471,30,11,19,3.1,3664
2013,용인시 수지구,성복동,11738,34982,16984,17998,34763,16835,17928,219,149,70,3,5105
2014,용인시 처인구,포곡읍,12864,34566,17754,16812,33787,17288,16499,779,466,313,2.6,3258
2014,용인시 처인구,모현읍,9874,25520,13671,11849,24254,12786,11468,1266,885,381,2.5,3008
2014,용인시 처인구,이동읍,7920,21330,11040,10290,20204,10198,10006,1126,842,284,2.6,2698
2014,용인시 처인구,남사면,3096,7881,4398,3483,7030,3703,3327,851,695,156,2.3,1630
2014,용인시 처인구,원삼면,3352,8138,4320,3818,7625,3931,3694,513,389,124,2.3,1682
2014,용인시 처인구,백암면,4078,9797,5286,4511,9219,4828,4391,578,458,120,2.3,2094
2014,용인시 처인구,양지면,6903,17302,9163,8139,16735,8756,7979,567,407,160,2.4,2076
2014,용인시 처인구,중앙동,9843,25243,12782,12461,23854,12058,11796,1389,724,665,2.4,2492
2014,용인시 처인구,역삼동,10944,29079,14628,14451,28565,14395,14170,514,233,281,2.6,2280
2014,용인시 처인구,유림동,11633,33247,16939,16308,32802,16691,16111,445,248,197,2.8,2688
2014,용인시 처인구,동부동,5704,14925,7576,7349,14325,7278,7047,600,298,302,2.5,1497
2014,용인시 기흥구,신갈동,13147,36255,18056,18199,35242,17538,17704,1013,518,495,2.7,3520
2014,용인시 기흥구,영덕동,15251,44119,21911,22208,43761,21743,22018,358,168,190,2.9,3021
2014,용인시 기흥구,구갈동,11448,28184,14130,14054,27445,13769,13676,739,361,378,2.4,2148
2014,용인시 기흥구,상갈동,17247,47201,23763,23438,46619,23455,23164,582,308,274,2.7,4784
2014,용인시 기흥구,기흥동,8373,22495,11178,11317,22261,11036,11225,234,142,92,2.7,2213
2014,용인시 기흥구,서농동,8541,20645,10511,10134,19787,10058,9729,858,453,405,2.3,1037
2014,용인시 기흥구,구성동,14058,40556,19760,20796,40388,19695,20693,168,65,103,2.9,4884
2014,용인시 기흥구,마북동,11172,31631,15586,16045,31492,15516,15976,139,70,69,2.8,4354
2014,용인시 기흥구,동백동,24338,75529,37069,38460,75231,36935,38296,298,134,164,3.1,5163
2014,용인시 기흥구,상하동,8361,24512,12011,12501,24285,11871,12414,227,140,87,2.9,2286
2014,용인시 기흥구,보정동,12629,35959,17596,18363,35695,17450,18245,264,146,118,2.8,4487
2014,용인시 수지구,풍덕천1동,13567,36073,17889,18184,35423,17576,17847,650,313,337,2.6,3337
2014,용인시 수지구,풍덕천2동,13757,40530,19925,20605,40375,19858,20517,155,67,88,2.9,3252
